Date,State_Name,District_Name,Pincode,Total_Enrolments,Total_Updates,Age_Group_0_18,Age_Group_19_40,Age_Group_41_60,Age_Group_60_Plus
2023-01-01,Maharashtra,Maharashtra_District_5,892572,6137,946,1590,2867,1249,431
2023-01-01,Uttar Pradesh,Uttar_District_7,894075,9234,2755,2549,3947,2149,589
2023-01-01,Karnataka,Karnataka_District_3,188713,5043,909,1213,2402,1078,350
2023-01-01,Tamil Nadu,Tamil_District_6,116946,4966,1341,1419,2461,1071,15
2023-01-01,Delhi,Delhi_District_2,469352,2685,716,679,1261,571,174
2023-01-01,West Bengal,West_District_3,984415,4066,636,1155,1729,905,277
2023-01-01,Rajasthan,Rajasthan_District_6,207753,3102,363,659,1261,774,408
2023-01-01,Gujarat,Gujarat_District_7,833878,3487,352,992,1429,714,352
2023-01-01,Madhya Pradesh,Madhya_District_7,803707,3205,853,866,1524,646,169
2023-01-01,Bihar,Bihar_District_6,819866,2214,483,527,1059,512,116
2023-01-01,Andhra Pradesh,Andhra_District_2,757038,2817,312,593,1380,638,206
2023-01-01,Telangana,Telangana_District_4,845900,2862,548,590,1313,596,363
2023-01-01,Kerala,Kerala_District_4,648638,2825,441,627,1390,686,122
2023-01-01,Odisha,Odisha_District_6,999414,1827,488,472,777,428,150
2023-01-01,Assam,Assam_District_1,337382,1248,231,301,545,295,107
2023-01-02,Maharashtra,Maharashtra_District_4,782206,10794,1372,3014,5287,2643,-150
2023-01-02,Uttar Pradesh,Uttar_District_5,166384,15715,4597,4051,7843,3245,576
2023-01-02,Karnataka,Karnataka_District_4,629036,7589,1178,1622,3315,1606,1046
2023-01-02,Tamil Nadu,Tamil_District_1,713128,9285,1378,2454,4524,1927,380
2023-01-02,Delhi,Delhi_District_3,908853,5494,973,1107,2258,1213,916
2023-01-02,West Bengal,West_District_5,936922,6553,1409,1668,2840,1334,711
2023-01-02,Rajasthan,Rajasthan_District_6,203110,6163,825,1598,2764,1519,282
2023-01-02,Gujarat,Gujarat_District_3,746481,6752,1899,1438,2822,1565,927
2023-01-02,Madhya Pradesh,Madhya_District_3,682648,5067,564,1437,2518,1203,-91
2023-01-02,Bihar,Bihar_District_1,611904,3981,466,1162,1849,883,87
2023-01-02,Andhra Pradesh,Andhra_District_2,778627,5219,1202,1144,2248,1152,675
2023-01-02,Telangana,Telangana_District_6,628080,4990,1104,1102,2033,1195,660
2023-01-02,Kerala,Kerala_District_4,903729,4132,1043,999,1787,869,477
2023-01-02,Odisha,Odisha_District_6,974217,3084,316,872,1341,751,120
2023-01-02,Assam,Assam_District_4,418832,2542,264,643,1210,529,160
2023-01-03,Maharashtra,Maharashtra_District_1,147271,9984,1471,2875,4942,2089,78
2023-01-03,Uttar Pradesh,Uttar_District_1,792056,15864,2776,3249,7755,3957,903
2023-01-03,Karnataka,Karnataka_District_6,583120,8289,1851,1749,3914,1981,645
2023-01-03,Tamil Nadu,Tamil_District_7,611918,8730,2153,2300,3867,1776,787
2023-01-03,Delhi,Delhi_District_7,512122,4941,737,1443,2225,1112,161
